,Export TIV
Algeria,0
Australia,134
Austria,15
Belarus,152
Belgium,7
Brazil,111
Brunei,12
Bulgaria,61
Canada,144
Chile,
China,2192
Colombia,
Croatia,
Czech Republic,133
Denmark,26
Dominican Republic,
Finland,66
France,2278
Georgia,7
Germany (FRG),2535
Greece,
India,42
Indonesia,94
Iran,5
Israel,1433
Italy,670
Japan,
Jordan,17
Kyrgyzstan,5
Montenegro,
Netherlands,471
New Zealand,12
Norway,150
Oman,
Pakistan,1
Poland,4
Portugal,172
Russia,6937
Serbia,23
Singapore,47
Slovakia,18
Slovenia,0
South Africa,65
South Korea,585
Spain,507
Sweden,267
Switzerland,186
Taiwan,
Thailand,2
Turkey,311
UAE,73
Ukraine,535
United Kingdom,1365
United States,10304
Unknown supplier(s),21
Uzbekistan,68